"Time","PosX","PosY","PosZ","AbsolutePoz"
2.014805311E0,1.649093628E-1,-7.710543871E-1,-3.206920624E-1,8.512128786E-1
2.031408756E0,1.594896317E-1,-7.751052976E-1,-2.708072662E-1,8.363980753E-1
2.048000888E0,1.399211884E-1,-7.361146212E-1,-2.797412872E-1,7.998111416E-1
2.064595880E0,1.636905670E-1,-7.545273304E-1,-3.188834190E-1,8.353398883E-1
2.081185348E0,1.694450378E-1,-6.868252754E-1,-2.962923050E-1,7.669613483E-1
2.097783320E0,1.548910141E-1,-6.286574006E-1,-2.577662468E-1,6.968821935E-1
2.114367711E0,1.453590393E-1,-5.658216476E-1,-2.521004677E-1,6.362688371E-1
2.130970495E0,1.686553955E-1,-5.985736847E-1,-2.904305458E-1,6.863563217E-1
2.147562892E0,1.642045975E-1,-6.456251740E-1,-3.006920815E-1,7.308972178E-1
2.164158005E0,1.741828918E-1,-6.113206744E-1,-3.216786385E-1,7.124112529E-1
2.180750027E0,1.753606796E-1,-6.870298386E-1,-3.333992958E-1,7.835282110E-1
2.197344978E0,1.672945023E-1,-7.053148150E-1,-2.967948914E-1,7.832902695E-1
2.213926978E0,1.866197586E-1,-7.476066351E-1,-3.359355927E-1,8.405922540E-1
2.230532367E0,1.969223022E-1,-8.185074329E-1,-3.277440071E-1,9.034096220E-1
2.247124520E0,1.317300797E-1,-8.183475733E-1,-2.331833839E-1,8.610575214E-1
2.263719745E0,1.658906937E-1,-8.504533172E-1,-2.880997658E-1,9.131221397E-1
2.280312001E0,1.382322311E-1,-7.682665586E-1,-2.756714821E-1,8.278504822E-1
2.296907155E0,1.581277847E-1,-6.430294514E-1,-2.776761055E-1,7.180496440E-1
2.313499033E0,1.643648148E-1,-7.185601592E-1,-2.940673828E-1,7.936120717E-1
2.330093974E0,1.800231934E-1,-7.414261103E-1,-3.596892357E-1,8.435030370E-1
2.346686605E0,1.495742798E-1,-8.169284463E-1,-2.964420319E-1,8.818290253E-1
2.363281444E0,1.954622269E-1,-8.875295520E-1,-3.455252647E-1,9.722663711E-1
2.379873588E0,1.286983490E-1,-8.200685978E-1,-2.421345711E-1,8.646993238E-1
2.396466046E0,1.273860931E-1,-9.050347209E-1,-2.434368134E-1,9.458205669E-1
2.413063846E0,1.208534241E-1,-8.560625911E-1,-2.248415947E-1,8.933098302E-1
2.429656284E0,1.238403320E-1,-7.162686586E-1,-2.392067909E-1,7.652431692E-1
2.446256931E0,1.304492950E-1,-6.148716211E-1,-2.185015678E-1,6.654525259E-1
2.462843205E0,1.745786667E-1,-6.658470035E-1,-3.086171150E-1,7.543702450E-1
2.479435704E0,1.677627563E-1,-7.366811633E-1,-3.182039261E-1,8.198153557E-1
2.496030583E0,1.661729813E-1,-7.218970060E-1,-3.083868027E-1,8.024033693E-1
2.512622687E0,1.492185593E-1,-6.731565595E-1,-2.739181519E-1,7.419144734E-1
2.529217881E0,1.601572037E-1,-6.524620056E-1,-3.050723076E-1,7.378523643E-1
2.545803268E0,1.614465714E-1,-6.760486960E-1,-2.585072517E-1,7.415745640E-1
2.562407976E0,1.427621841E-1,-6.464514732E-1,-2.546105385E-1,7.093004122E-1
2.578997220E0,1.433801651E-1,-6.837468743E-1,-2.462115288E-1,7.407346197E-1
2.595592271E0,1.487493515E-1,-6.445604563E-1,-2.616705894E-1,7.113761654E-1
2.612184813E0,1.637649536E-1,-7.105616927E-1,-3.022084236E-1,7.893331429E-1
2.628779661E0,1.322994232E-1,-6.139913201E-1,-2.520999908E-1,6.767886553E-1
2.645371845E0,1.620941162E-1,-6.657927036E-1,-3.028945923E-1,7.491992797E-1
2.661966888E0,1.822509766E-1,-6.792654395E-1,-3.142938614E-1,7.703230407E-1
2.678559386E0,1.550884247E-1,-5.780646801E-1,-2.782998085E-1,6.600469508E-1
2.695154265E0,1.880273819E-1,-6.436948180E-1,-3.602271080E-1,7.612232816E-1
2.711746277E0,1.550464630E-1,-6.913236380E-1,-2.931985855E-1,7.667680149E-1
2.728341238E0,1.223220825E-1,-5.613279343E-1,-2.070484161E-1,6.106724067E-1
2.744933899E0,1.740264893E-1,-7.039778829E-1,-2.835721970E-1,7.786419392E-1
2.761517884E0,1.695775986E-1,-8.562017083E-1,-3.075861931E-1,9.254443222E-1
2.778120922E0,1.373500824E-1,-7.263174653E-1,-2.615466118E-1,7.840974019E-1
2.794715904E0,1.104469299E-1,-5.534419417E-1,-2.062349319E-1,6.008571830E-1
2.811308647E0,1.439819336E-1,-7.345396280E-1,-2.504663467E-1,7.893115058E-1
2.827903303E0,1.626167297E-1,-7.194731832E-1,-3.177103996E-1,8.031349576E-1
2.844495486E0,1.393260956E-1,-5.897348523E-1,-2.460575104E-1,6.540208371E-1
2.861090458E0,1.626081467E-1,-6.943780780E-1,-2.939138412E-1,7.713544390E-1
2.877683008E0,1.534280777E-1,-6.747029424E-1,-2.505602837E-1,7.358972015E-1
2.894277867E0,1.298694611E-1,-6.406517625E-1,-2.358894348E-1,6.949421437E-1
2.910869990E0,1.527404785E-1,-6.687254906E-1,-2.639112473E-1,7.349643406E-1
2.927464910E0,1.519708633E-1,-6.394516826E-1,-2.626886368E-1,7.078127701E-1
2.944057480E0,1.518239975E-1,-6.006955504E-1,-2.720718384E-1,6.766895564E-1
2.960652553E0,1.514186859E-1,-5.810933113E-1,-2.768292427E-1,6.612348180E-1
2.977244635E0,1.645107269E-1,-6.188912988E-1,-2.885222435E-1,7.023783197E-1
2.993839341E0,1.241168976E-1,-6.136652827E-1,-2.419538498E-1,6.712166185E-1
3.010432055E0,1.508207321E-1,-6.754092574E-1,-2.769069672E-1,7.453871656E-1
3.027027117E0,1.676015854E-1,-7.658285499E-1,-2.925405502E-1,8.367578101E-1
3.043619047E0,1.605205536E-1,-7.844612002E-1,-3.078670502E-1,8.578626600E-1
3.060210641E0,1.113710403E-1,-7.169300318E-1,-2.281661034E-1,7.605602868E-1
3.076810200E0,1.570920944E-1,-7.403160930E-1,-2.740893364E-1,8.049042229E-1
3.093398274E0,1.473283768E-1,-6.488952041E-1,-2.632398605E-1,7.155877728E-1
3.109987223E0,1.618700027E-1,-6.244078875E-1,-2.933492661E-1,7.086190088E-1
3.126589070E0,1.581439972E-1,-5.372388363E-1,-3.053655624E-1,6.378739827E-1
3.143175954E0,1.541910172E-1,-6.520015597E-1,-2.966914177E-1,7.327391767E-1
3.159778647E0,1.781682968E-1,-7.517030835E-1,-3.170275688E-1,8.350496675E-1
3.176366344E0,1.716175079E-1,-6.744366884E-1,-3.164243698E-1,7.644879316E-1
3.192961876E0,1.654376984E-1,-6.450591683E-1,-2.887291908E-1,7.258343532E-1
3.275926019E0,1.315040588E-1,-8.214026690E-1,-2.371177673E-1,8.649973975E-1
