"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.025579290E-1,-8.075776696E-1,2.817548811E-1,9.265008926E0,9.304405296E0
2.046347320E-1,-8.362914920E-1,2.961117923E-1,9.289535522E0,9.331802392E0
2.067125930E-1,-8.506484628E-1,3.008974493E-1,9.294321060E0,9.338016173E0
2.087785410E-1,-8.404789567E-1,3.152543902E-1,9.308079720E0,9.351263993E0
2.108553130E-1,-8.697910309E-1,3.008974493E-1,9.275178909E0,9.320730632E0
2.129271210E-1,-8.937192559E-1,3.056831062E-1,9.284749985E0,9.332671565E0
2.150039040E-1,-9.032905698E-1,3.200400174E-1,9.270393372E0,9.319793599E0
2.170769230E-1,-9.272187948E-1,3.200400174E-1,9.280562401E0,9.332255825E0
2.191466240E-1,-9.415757060E-1,3.200400174E-1,9.270991325E0,9.324176670E0
2.212278930E-1,-9.750752449E-1,3.248256743E-1,9.280562401E0,9.337297357E0
2.232998640E-1,-9.696913958E-1,3.248256743E-1,9.314062119E0,9.370035553E0
2.253732380E-1,-9.894321561E-1,3.200400174E-1,9.295517921E0,9.353504960E0
2.274385050E-1,-9.798609018E-1,3.008974493E-1,9.262018204E0,9.318564689E0
2.295229460E-1,-9.990034699E-1,3.008974493E-1,9.266803741E0,9.325352475E0
2.315969620E-1,-1.013360381E0,2.865405083E-1,9.285946846E0,9.345470216E0
2.336736020E-1,-1.027717352E0,2.817548811E-1,9.276374817E0,9.337382851E0
2.357456240E-1,-1.075573802E0,2.913261652E-1,9.262616158E0,9.329404484E0
2.378180530E-1,-1.104885817E0,2.673979402E-1,9.234500885E0,9.304207700E0
2.398834110E-1,-1.129412293E0,2.440679073E-1,9.201599121E0,9.273864764E0
2.419683820E-1,-1.138983607E0,2.440679073E-1,9.168100357E0,9.241802690E0
2.440431100E-1,-1.168295622E0,2.201396823E-1,9.139386177E0,9.216385183E0
2.461191700E-1,-1.188036442E0,1.914258152E-1,9.106484413E0,9.185648197E0
2.481891350E-1,-1.211366415E0,1.722832322E-1,9.121439934E0,9.203138409E0
2.502583700E-1,-1.235294700E0,1.435693651E-1,9.126225471E0,9.210567654E0
2.523395470E-1,-1.244866014E0,1.100698411E-1,9.131011009E0,9.216136328E0
2.544144880E-1,-1.264008522E0,8.614161611E-2,9.155537605E0,9.242781333E0
2.564893890E-1,-1.274178028E0,7.178468257E-2,9.122037888E0,9.210877152E0
2.585621720E-1,-1.288534999E0,3.828516230E-2,9.122037888E0,9.212674065E0
2.606368390E-1,-1.317248821E0,9.571290575E-3,9.108279228E0,9.203042245E0
2.627104380E-1,-1.326820135E0,4.785645287E-3,9.117850304E0,9.213884563E0
2.647846970E-1,-1.360319614E0,-4.785645287E-3,9.108877182E0,9.209893369E0
