"Time_s","LinearA_x_m/s/s)","LinearA_y_m/s/s","LinearA_z_m/s/s","AbsA_m/s/s"
1.923363968E0,-1.019976854E0,4.928838015E-1,2.925987244E-1,1.170000529E0
1.939957708E0,-1.020107746E0,3.936592340E-1,2.502555847E-1,1.121701950E0
1.956551550E0,-1.043960571E0,4.606590271E-1,1.980504990E-1,1.158138340E0
1.973145472E0,-1.018280983E0,5.136424303E-1,3.068552017E-1,1.181052421E0
1.989739752E0,-1.032000065E0,5.298658609E-1,2.213706970E-1,1.181010986E0
2.006333401E0,-1.015580654E0,4.519674778E-1,2.838916779E-1,1.147289480E0
2.022927416E0,-1.018639207E0,4.295942783E-1,2.933444977E-1,1.143777982E0
2.039521064E0,-1.022511482E0,4.931409359E-1,2.358083725E-1,1.159449569E0
2.056115588E0,-1.005928636E0,4.913080931E-1,2.117681503E-1,1.139351487E0
2.072709206E0,-9.868762493E-1,4.434947968E-1,2.547826767E-1,1.111542432E0
2.089303435E0,-1.014645815E0,4.006234407E-1,2.406129837E-1,1.117094391E0
2.105896819E0,-1.024594903E0,4.178280830E-1,2.401103973E-1,1.132266764E0
2.122491271E0,-1.055635929E0,4.447458982E-1,1.825323105E-1,1.159950074E0
2.139084960E0,-1.080738187E0,4.338901043E-1,2.500896454E-1,1.191134116E0
2.155678874E0,-1.047908425E0,4.507359266E-1,2.214212418E-1,1.162025090E0
2.172272665E0,-1.008283019E0,4.929320812E-1,2.031192780E-1,1.140558690E0
2.188867188E0,-9.548779726E-1,3.355624676E-1,2.759065628E-1,1.049056025E0
2.205459810E0,-1.007266760E0,3.599792719E-1,2.621831894E-1,1.101322581E0
2.222055432E0,-1.021102786E0,5.068002939E-1,3.043756485E-1,1.179890661E0
2.238648317E0,-1.020079970E0,4.917057753E-1,2.368450165E-1,1.156906771E0
2.255242872E0,-9.999346733E-1,4.579806328E-1,2.413482666E-1,1.125994936E0
2.271836296E0,-1.047733665E0,4.678188562E-1,2.131280899E-1,1.167057795E0
2.288430373E0,-1.027956843E0,4.455724955E-1,2.230186462E-1,1.142351713E0
2.305024041E0,-9.797415733E-1,3.944311142E-1,2.704858780E-1,1.090244039E0
2.321618504E0,-1.006945968E0,4.185937643E-1,2.516279221E-1,1.119141426E0
2.338212203E0,-1.015187860E0,4.473750591E-1,2.273960114E-1,1.132457407E0
2.354795588E0,-1.009365797E0,4.139655828E-1,2.367382050E-1,1.116347524E0
2.371399765E0,-1.025004983E0,4.269517660E-1,1.744203568E-1,1.123986426E0
2.387994238E0,-9.585223198E-1,4.204654694E-1,2.791814804E-1,1.083281380E0
2.404588171E0,-1.015977979E0,4.391539097E-1,1.980562210E-1,1.124408145E0
2.421181892E0,-9.941114187E-1,4.393286705E-1,2.880573273E-1,1.124386151E0
2.437774685E0,-1.008262157E0,4.393742085E-1,1.926183701E-1,1.116576961E0
2.454372261E0,-1.006406069E0,4.496777058E-1,2.259616852E-1,1.125220822E0
2.470962299E0,-1.005286932E0,4.217989445E-1,2.354307175E-1,1.115322280E0
2.487557605E0,-9.902589321E-1,4.363410473E-1,2.394952774E-1,1.108315952E0
2.504151203E0,-9.389395714E-1,6.392351389E-1,3.565893173E-1,1.190539803E0
2.520745767E0,-9.978927374E-1,3.440110683E-1,2.851200104E-1,1.093355821E0
2.537339334E0,-1.001623034E0,1.984461546E-1,1.668100357E-1,1.034628033E0
2.553933462E0,-1.027560711E0,2.906087637E-1,-8.956432343E-2,1.071613847E0
2.570527018E0,-1.013210535E0,6.145943403E-1,3.843612671E-1,1.245815145E0
2.587121755E0,-9.000668526E-1,4.580506086E-1,2.974939346E-1,1.052821609E0
